name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/10-bounded-repeat/capitals,count,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,7384531,118,4.56s,25.44ms,1.15us,25.43ms,55.67us,25.31ms,25.60ms
curated/10-bounded-repeat/compile-context,compile,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,,24546,4.56s,119.76us,0.00ns,119.90us,4.46us,115.98us,745.27us
curated/10-bounded-repeat/compile-capitals,compile,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,,43471,4.56s,66.50us,0.00ns,66.60us,3.16us,64.13us,644.50us
curated/11-unstructured-to-json/extract,grep-captures,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,23952,16570,4.56s,180.54us,0.00ns,180.74us,5.47us,174.83us,795.60us
curated/11-unstructured-to-json/compile,compile,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,,12845,4.56s,225.18us,0.00ns,229.87us,26.29us,213.02us,1.06ms
curated/12-dictionary/single,count,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,61436,8,5.21s,421.43ms,92.11us,421.66ms,1.15ms,420.52ms,424.54ms
curated/12-dictionary/compile-single,compile,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,,35,4.61s,87.32ms,0.00ns,88.14ms,1.53ms,86.21ms,91.37ms
curated/14-quadratic/1x,count,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,100,101786,4.56s,29.14us,0.00ns,29.21us,2.05us,28.57us,635.13us
curated/14-quadratic/2x,count,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,200,34438,4.56s,86.69us,0.00ns,86.84us,3.59us,85.50us,676.43us
curated/14-quadratic/10x,count,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,1000,1887,4.56s,1.59ms,0.00ns,1.59ms,8.72us,1.58ms,1.78ms
