name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/10-bounded-repeat/context,count,0.1.0 (rev 79305bcb5f),icu,72.1.0,,7384531,32,4.61s,93.37ms,409.62us,93.77ms,1.06ms,92.59ms,96.72ms
curated/10-bounded-repeat/capitals,count,0.1.0 (rev 79305bcb5f),icu,72.1.0,,7384531,121,4.56s,24.96ms,0.00ns,24.96ms,45.83us,24.83ms,25.14ms
curated/10-bounded-repeat/compile-context,compile,0.1.0 (rev 79305bcb5f),icu,72.1.0,,,478488,4.68s,5.27us,0.00ns,5.29us,310.00ns,5.15us,124.46us
curated/10-bounded-repeat/compile-capitals,compile,0.1.0 (rev 79305bcb5f),icu,72.1.0,,,880994,4.79s,2.77us,0.00ns,2.78us,186.00ns,2.69us,119.28us
curated/11-unstructured-to-json/extract,grep-captures,0.1.0 (rev 79305bcb5f),icu,72.1.0,,23952,13135,4.51s,228.18us,0.00ns,228.36us,1.91us,224.94us,371.97us
curated/11-unstructured-to-json/compile,compile,0.1.0 (rev 79305bcb5f),icu,72.1.0,,,314495,4.62s,7.70us,0.00ns,7.73us,372.00ns,7.51us,125.02us
curated/12-dictionary/single,count,0.1.0 (rev 79305bcb5f),icu,72.1.0,,61436,8,4.71s,390.37ms,20.93us,390.56ms,547.40us,390.06ms,391.82ms
curated/12-dictionary/compile-single,compile,0.1.0 (rev 79305bcb5f),icu,72.1.0,,,2316,4.51s,1.28ms,2.00ns,1.28ms,12.35us,1.24ms,1.39ms
curated/14-quadratic/1x,count,0.1.0 (rev 79305bcb5f),icu,72.1.0,,100,107705,4.57s,27.72us,0.00ns,27.82us,690.00ns,27.31us,155.21us
curated/14-quadratic/2x,count,0.1.0 (rev 79305bcb5f),icu,72.1.0,,200,29582,4.51s,101.08us,0.00ns,101.38us,1.38us,99.97us,216.77us
curated/14-quadratic/10x,count,0.1.0 (rev 79305bcb5f),icu,72.1.0,,1000,1289,4.51s,2.33ms,0.00ns,2.33ms,8.93us,2.31ms,2.44ms
